citation,citation_2014,email,hindex,hindex_2014,iindex,iindex_2014,maxyear,minyear,name,position,tags,totaltitle
218,207,Verified email at de.bosch.com,8,8,6,6,2020,2012,"Marco Todescato, Ph.D.","Bosch Center for Artificial Intelligence,  Robert Bosch GmbH None","Optimization,Reinforcement Learning,Multi-Agent Systems",32
218,91,Verified email at dfki.de,8,6,8,2,2020,2008,Gerrit Kahl,"Researcher,  German Research Center for Artificial Intelligence , Saarland Informatics Campus","Dual Reality,Instrumented Environments,Communication Infrastructure",35
218,145,Verified email at de.bosch.com - ,6,4,6,3,2020,2011,Trung-Kien Tran,Bosch Center for Artificial Intelligence (BCAI) Homepage None,"Knowledge Representation and Reasoning,Ontology,Semantic Web",19
219,207,Verified email at tust.edu.cn,8,8,7,7,2019,2008,Yuan Wang,"College of Artificial Intelligence, Tianjin University of Science and Technology. Artificial intelligence None","Artificial intelligence,Data mining,recommended system,natural language processing",33
219,215,Verified email at informatik.uni-freiburg.de,7,7,6,5,2020,2015,Michael Herman,"Bosch Center for Artificial Intelligence,  University of Freiburg None","Deep Learning,Reinforcement Learning,Inverse Reinforcement Learning,Machine Learning",17
219,219,Verified email at inceptioniai.org,8,8,5,5,2020,2015,Geng Chen,Inception Institute of Artificial Intelligence Medical Image Analysis None,"Medical Image Analysis,Deep Learning,Diffusion MRI,Neuroscience",44
220,210,Verified email at bupt.edu.cn,9,9,9,9,2020,2012,Ming Xu,"College of Artificial Intelligence, Tianjin University of Science and Technology spatio-temporal data mining None","spatio-temporal data mining,urban computing,AI in transportation",25
220,218,Verified email at allenai.org,7,7,7,7,2020,2016,Luca Weihs,"Research Scientist, Allen Institute for Artificial Intelligence reinforcement learning None","reinforcement learning,computer vision,algebraic statistics",21
221,72,Verified email at dfki.de,9,5,9,3,2019,2007,Sabine Janzen, (DFKI) German Research Center for Artificial Intelligence None,"Responsible AI,Autonomous Systems,HCI,Dialogue Planning,Design Methods",28
221,122,Verified email at uv.mx,9,6,7,2,2019,1991,Homero V. Rios-Figueroa,"Professor of Artificial Intelligence,  University of Veracruz None","Artificial Intelligence,Computer Vision,Algorithms,Mathematics",87
222,175,Verified email at saal.ai,9,8,8,6,2017,2007,Ankit Kumar Srivastava,"Saal Operating Systems LLC, German Research Center for Artificial Intelligence (DFKI) Machine Translation None","Machine Translation,Digital Curation,Linked Data,Natural Language Processing,Machine Learning",44
223,101,Verified email at ai.vub.ac.be - ,6,3,4,2,2019,2006,Johan Loeckx,Artificial Intelligence Lab ( Vrije Universiteit Brussel ),"Artificial Intelligence,Education,Music,Modelling,Electromagnetic Compatibility",23
224,202,Verified email at alumni.ut.ac.ir,10,9,11,9,2020,2003,Babak Majidi,"Assistant Professor, Robotics and Artificial Intelligence Laboratory, Khatam University Machine Learning None","Machine Learning,Computer Vision,Cyber Physical Systems,Big Data Analytics",42
226,184,Verified email at dfki.de,7,7,5,5,2019,2006,Mohammad Mehdi Moniri,"Researcher,   German Research Center for Artificial Intelligence None",HCI,26
227,227,Verified email at bdu.edu.vn,8,8,5,5,2020,2015,Hoang-Sy Nguyen,"Faculty of Information Technology, Robotics and Artificial Intelligence Wireless Communication None","Wireless Communication,Network Security,Artificial Intelligence",41
230,230,Verified email at mila.quebec - ,7,7,7,7,2020,2015,Nicolas Loizou,Mila - Quebec Artificial Intelligence Institute Homepage None,"Large Scale Optimization,Randomized Algorithms,Machine Learning,Numerical Linear Algebra,Game Theory",17
230,215,Verified email at ece.ubc.ca - ,6,6,6,6,2017,2013,Zhenyu Guo,"Director of Artificial Intelligence, Postmates Homepage None","Computer Vision,Artificial Intelligence,Deep Learning,Reinforcement Learning",13
231,227,Verified email at dfki.de,7,7,6,6,2020,2013,Felix Kosmalla," (DFKI), Saarland Informatics Campus German Research Center for Artificial Intelligence None","HCI,Wearables,Interactive Assistive Systems in Sports",33
235,235,Verified email at stu.xmu.edu.cn - ,8,8,7,7,2020,2015,Jia Zhang,"Ph.D. Student, Artificial Intelligence Department,  Xiamen University None","Machine Learning,Data Mining,Artificial Intelligence",16
235,164,Verified email at hud.ac.uk - ,8,7,6,5,2020,2006,George Baryannis,"Senior Lecturer in Artificial Intelligence,  University of Huddersfield None","Artificial Intelligence,Knowledge Representation,Service-Oriented Computing",31
236,83,Verified email at p.chibakoudai.jp - ,7,4,3,1,2018,1998,Masatomo Hashimoto,"Software Technology and Artificial Intelligence Research Lab, Chiba Institute of Technology Homepage None","software analytics,programming language,machine learning",29
236,236,Verified email at xidian.edu.cn - ,9,9,9,9,2019,2009,Xu Tang,"School of Artificial Intelligence, Xidian Univeristy Homepage None","Image Processing,Remote Sensing,Machine Learning",23
238,192,Verified email at rug.nl,8,7,6,5,2016,2006,Charlotte S. Vlek,"PhD student Artificial Intelligence,  University of Groningen None","Evidential Reasoning,Bayesian networks,Narrative",21
239,239,Verified email at idsia.ch,10,10,10,10,2020,2012,Gianvito Grasso,Dalle Molle Institute for Artificial Intelligence ( IDSIA ),"Structural Biology,Molecular Dynamics,Protein Folding,Protein Aggregation,Computational Biology",35
243,70,Verified email at visualfy.com,7,4,7,2,2020,2003,Pedro Zuccarello,Senior Artificial Intelligence Researcher - Visualfy Artificial intelligence None,"Artificial intelligence,machine learning,deep learning,audio processing",28
245,245,Verified email at dfki.de,10,10,12,12,2019,2017,Dr. Daniel Fraunholz,Verified email at dfki.de German Research Center for Artificial Intelligence None,,36
246,242,Verified email at dfki.de,7,7,7,7,2020,2013,Abdulrahman Kaitoua,Researcher at  German Research Center for Artificial Intelligence  (DFKI),"Big Data Processing,BioInformatics,Data Mining,Data Base Management Systems.",31
